"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
NEXPA_01,충청남도,아산시,일반국도,48번,실옥로,,충청남도 아산시 실옥로 48,,36.7874330099,126.9927429036,천도초등학교주변,4,0,,,2,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_02,충청남도,아산시,일반국도,374번,시민로,,충청남도 아산시 시민로 374,,36.7818641588,127.0004372359,온양관광호텔 사거리,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_03,충청남도,아산시,일반국도,1627번,온천대로,,충청남도 아산시 온천대로 1627,,36.7789439243,127.0184530553,동신초등학교주변,4,0,,,2,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_04,충청남도,아산시,일반국도,133번,번영로,,충청남도 아산시 번영로 133,,36.7862591268,127.0056060819,아고오거리주변,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_05,충청남도,아산시,일반국도,101번,번영로,,충청남도 아산시 번영로 101,,36.7867639520,127.0022561154,시민로사거리주변,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_06,충청남도,아산시,일반국도,157번,번영로,,충청남도 아산시 번영로 157,,36.7858505895,127.0082219857,한올고사거리주변(권곡사거리),4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_07,충청남도,아산시,일반국도,185번,번영로,,충청남도 아산시 번영로 185,,36.7851817911,127.0113902472,동천교회사거리주변,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_08,충청남도,아산시,일반국도,87번,청운로,,충청남도 아산시 청운로 87,,36.7818582763,127.0070051852,온양온천초등학교주변,4,0,,,2,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_09,충청남도,아산시,일반국도,354번,시민로,,충청남도 아산시 시민로 354,,36.7804153447,126.9994802109,남산사거리주변,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-01,충청남도,아산시,일반국도,1520번,온천대로,,충청남도 아산시 온천대로 1520번,,,,송악사거리,4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
NEXPA_10,충청남도,아산시,일반국도,11번,충무로8길,,충청남도 아산시 충무로8번길 11,,36.7819674780,127.0055540134,청주탕주변(해수마트),4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
DOOWON-02,충청남도,아산시,일반국도,1521번,온천대로,,충청남도 아산시 온천대로 1521,,36.7809979965,127.0067403933,델코조명사거리(홍청훈외과),4,0,,,,2006-09-01,아산시청 교통행정과,041-540-2953,2020-09-17
