"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F5705,대전광역시,유성구,시도,,한밭대로,02,,대전광역시 유성구 장대동 339,36.36413800,127.33813800,장대네거리,02,50,,,,2010,대전광역시,042-120,2022-12-15
F5706,대전광역시,서구,시도,,대덕대로,02,,대전광역시 서구 둔산동 1535,36.34877700,127.37694400,큰마을네거리,02,50,,,,2010,대전광역시,042-120,2022-12-15
F5707,대전광역시,서구,시도,,동서대로,02,,대전광역시 서구 도안동 1512,36.33205500,127.34108300,하나은행 도안지점 앞 네거리,02,50,,,,2010,대전광역시,042-120,2022-12-15
F6307,대전광역시,서구,시도,,계백로,01,,대전광역시 서구 정림동 293-4,36.30768300,127.36434200,정림삼거리,02,60,,,,2011,대전광역시,042-120,2022-12-15
F6308,대전광역시,서구,시도,,도안동로,02,,대전광역시 서구 도안동 1472,36.31288800,127.35008300,용소삼거리,02,50,,,,2011,대전광역시,042-120,2022-12-15
F6309,대전광역시,유성구,시도,,유성대로,02,,대전광역시 유성구 구암동 629-5,36.34880700,127.32661400,구.유성중 앞 삼거리,02,60,,,,2011,대전광역시,042-120,2022-12-15
F6311,대전광역시,서구,시도,,계룡로,01,,대전광역시 서구 월평동 1172,36.35344400,127.35825100,월평삼거리,02,50,,,,2011,대전광역시,042-120,2022-12-15
F6312,대전광역시,유성구,시도,,유성대로,01,,대전광역시 유성구 장동 236-7,36.40141600,127.36266600,장재울삼거리,02,60,,,,2011,대전광역시,042-120,2022-12-15
F6313,대전광역시,유성구,시도,,도안동로,01,,대전광역시 유성구 원신흥동 487,36.34416600,127.34694400,양우내안애(아) 앞 삼거리,02,50,,,,2011,대전광역시,042-120,2022-12-15
F6316,대전광역시,유성구,시도,,계백로,02,,대전광역시 유성구 방동 690-1,36.27350100,127.26841600,두마교차로,01,70,,,,2011,대전광역시,042-120,2022-12-15
F6649,대전광역시,유성구,시도,,현충원로,02,,대전광역시 유성구 구암동 693,36.36038800,127.30561100,덕명네거리,02,50,,,,2011,대전광역시,042-120,2022-12-15
F6650,대전광역시,유성구,시도,,동서대로,01,,대전광역시 유성구 덕명동 527,36.35780500,127.30350100,신협연수원 앞 네거리,02,50,,,,2011,대전광역시,042-120,2022-12-15
F6814,대전광역시,서구,시도,,도산로,02,,대전광역시 서구 도마동 99-1,36.31926700,127.37777500,구농도원네거리,02,50,,,,2012,대전광역시,042-120,2022-12-15
F6817,대전광역시,유성구,시도,,대학로,02,,대전광역시 유성구 궁동 27-2,36.36050100,127.35022200,앞 삼거리,02,50,,,,2012,대전광역시,042-120,2022-12-15
F6818,대전광역시,유성구,시도,,북유성대로,02,,대전광역시 유성구 반석동 679,36.39594600,127.31184100,외삼네거리,02,60,,,,2012,대전광역시,042-120,2022-12-15
F6821,대전광역시,유성구,시도,,한밭대로,01,,대전광역시 유성구 궁동 27-3,36.36019400,127.35058300,은골어린이공원 앞,01,50,,,,2012,대전광역시,042-120,2022-12-15
F6822,대전광역시,유성구,시도,,북유성대로,01,,대전광역시 유성구 안산동 300-1,36.41327700,127.30025100,마을입구,01,80,,,,2012,대전광역시,042-120,2022-12-15
F7116,대전광역시,중구,시도,,대둔산로,02,,대전광역시 중구 사정동 513-9,36.29266600,127.38247200,우남스타원(아) 앞 삼거리,02,50,,,,2013,대전광역시,042-120,2022-12-15
F7118,대전광역시,유성구,시도,,월드컵대로,01,,대전광역시 유성구 구암동 613-9,36.34863800,127.33527700,상대초교 앞(유성고),01,30,,,02,2013,대전광역시,042-120,2022-12-15
F7905,대전광역시,유성구,시도,,동서대로,01,,대전광역시 유성구 원신흥동 558-5,36.33233300,127.34086100,어울림하트(아) 1201동 앞 네거리,02,50,,,,2014,대전광역시,042-120,2022-12-15
F7909,대전광역시,서구,시도,,신갈마로,01,,대전광역시 서구 내동 220-13,36.33691600,127.36663800,외국어고 앞,01,50,,,,2014,대전광역시,042-120,2022-12-15
F7912,대전광역시,서구,시도,,둔산대로,02,,대전광역시 서구 월평동 218-1,36.36483300,127.37322200,월평주공(아) 305동 뒤,01,50,,,,2014,대전광역시,042-120,2022-12-15
F7913,대전광역시,유성구,시도,,유성대로,01,,대전광역시 유성구 교촌동 616,36.30577700,127.31986100,한승미메이드(아) 202동 앞,01,60,,,,2014,대전광역시,042-120,2022-12-15
F7914,대전광역시,유성구,시도,,도안대로,01,,대전광역시 유성구 상대동 467-9,36.34613800,127.34011100,세우프라자 앞 (버스정류장 앞),02,50,,,,2014,대전광역시,042-120,2022-12-15
F7915,대전광역시,유성구,시도,,대덕대로,03,,대전광역시 유성구 도룡동 380-4,36.38915100,127.37474800,도룡삼거리 400미터 전,01,50,,,,2014,대전광역시,042-120,2022-12-15
F7916,대전광역시,유성구,시도,,월드컵대로,02,,대전광역시 유성구 상대동 439-3,36.34844400,127.33522200,상대초교 앞,01,50,,,02,2014,대전광역시,042-120,2022-12-15
