"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,충청남도,당진시,시도,,남산공원길,1,충청남도 당진시 남산공원길 1,충청남도 당진시 읍내동 167-8,36.8918939224,126.6315232587,당진초등학교(당진시 읍내동 167-8),99,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,밤절로,1,충청남도 당진시 밤절로 1,충청남도 당진시 읍내동 735-11,,,계성초등학교(당진시 읍내동 735-11),99,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,대호만로,1,충청남도 당진시 대호만로 1,충청남도 당진시 채운동 456-1,,,탑동초등학교(당진시 채운동 456-1),99,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,대덕1로,1,충청남도 당진시 대덕1로 1,충청남도 당진시 대덕동 1919,,,대덕초등학교(당진시 대덕동 1919),99,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,대덕1로,1,충청남도 당진시 대덕1로 1,충청남도 당진시 대덕동 1919,,,대덕초등학교(당진시 대덕동 1919),99,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,솔안말길,1,충청남도 당진시 신평면 솔안말길 1,충청남도 당진시 신평면 거산리 산 28-5,,,서정초등학교(당진시 신평면 거산리 산 28-5),99,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,역천로,1,충청남도 당진시 용연로 1,충청남도 당진시 용연동 865-1,36.8683937582,126.6116956766,용연유치원(당진시 용연로 1),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,역천로,1,충청남도 당진시 용연로 1,충청남도 당진시 용연동 865-1,36.8683937582,126.6116956766,용연유치원(당진시 용연로 1),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,대호로,1,충청남도 당진시 석문면 대호로 1,충청남도 당진시 삼봉리 821-13,,,삼봉초등학교(당진시 삼봉리 821-13),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,신평로,1,충청남도 당진시 신평면 신평로 1,충청남도 당진시 신평면 금천리 402-6,,,신평초등학교(당진시 신평면 금천리 402-6),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,송악로,1,충청남도 당진시 송악읍 송악로 1,충청남도 당진시 송악읍 중흥리 375-8,,,송악초등학교(당진시 송악읍 중흥리 375-8 ),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,면천로,1,충청남도 당진시 합덕읍 면천로 1590,충청남도 당진시 합덕읍 운산리 979,,,당진나래학교(당진시 합덕읍 면천로 1590),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,면천로,1,충청남도 당진시 합덕읍 면천로 1590,충청남도 당진시 합덕읍 운산리 979,,,당진나래학교(당진시 합덕읍 면천로 1590),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
1,충청남도,당진시,시도,,틀모시로,1,충청남도 당진시 송악읍 틀모시로 897,충청남도 당진시 송악읍 기지시리 432-1,36.9119076078,126.6887830988,기지유치원(당진시 송악읍 틀모시로 897),1,30,2,0,2,2021,충남경찰청,041-336-2253,2021-09-23
