"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"경남사거리",충청남도,보령시,시도,,번영로,2,충청남도 보령시 번영로 25,충청남도 보령시 대천동 435-11,36.35153453,126.5933711,사거리,4,0,,,,2005,충청남도 보령시청,041-930-3973,2022-11-24
"보령종로약국 앞 주변",충청남도,보령시,시도,,중앙로,2,충청남도 보령시 남대천로 26,충청남도 보령시 대천동 190-3,36.35106384,126.5947276,사거리,4,0,,,2,2014,충청남도 보령시청,041-930-3973,2022-11-24
"명문당 사거리",충청남도,보령시,시도,,중앙로,2,충청남도 보령시 중앙로 68,충청남도 보령시 대천동 199-20,36.3504141,126.5967485,사거리,4,0,,,,2015,충청남도 보령시청,041-930-3973,2022-11-24
"구)동보상호신용금고 앞",충청남도,보령시,시도,,대흥로,2,충청남도 보령시 대흥로 19,충청남도 보령시 대천동 203-3,36.34874766,126.5962508,사거리,4,0,,,,2015,충청남도 보령시청,041-930-3973,2022-11-24
"스파밸리 삼거리",충청남도,보령시,시도,,중앙로,2,충청남도 보령시 중앙로 46,충청남도 보령시 대천동 618-511,36.34868563,126.5985363,일방통행종점 삼거리,4,0,,,,2015,충청남도 보령시청,041-930-3973,2022-11-24
"우리은행",충청남도,보령시,시도,,중앙로,2,충청남도 보령시 중앙로 57,충청남도 보령시 대천동 618-278,36.34977195,126.5975895,삼거리,4,0,,,,2016,충청남도 보령시청,041-930-3973,2022-11-24
"한내사거리",충청남도,보령시,시도,,한내로,2,충청남도 보령시 한내로 22,충청남도 보령시 동대동 1958,36.34714173,126.6060317,사거리,4,0,,,,2012,충청남도 보령시청,041-930-3973,2022-11-24
"명천주공2차 앞 사거리",충청남도,보령시,시도,,주공로,2,충청남도 보령시 작은오랏3길 87,충청남도 보령시 동대동 414-11,36.34397398,126.6035739,사거리,4,0,,,,2013,충청남도 보령시청,041-930-3973,2022-11-24
"보령축협 앞",충청남도,보령시,시도,,번영로,2,충청남도 보령시 번영로11,충청남도 보령시 대천동 438-6,36.35258558,126.5938536,보령축협 앞,4,0,,,,2014,충청남도 보령시청,041-930-3973,2022-11-24
"버스터미널주변",충청남도,보령시,시도,,터미널길,2,충청남도 보령시 터미널길 17,충청남도 보령시 궁촌동 358,36.34267635,126.5885033,가구할인매장 앞 삼거리,4,0,,,,2015,충청남도 보령시청,041-930-3973,2022-11-24
"주공사거리",충청남도,보령시,일반국도,36,대해로,2,충청남도 보령시 희망1길 68,충청남도 보령시 동대동 1958,36.34641903,126.6015911,주공사거리,4,0,,,,2015,충청남도 보령시청,041-930-3973,2022-11-24
