"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"천안서북-F0001",충청남도,천안시 서북구,시도,,봉정로,3,충청남도 천안시 서북구 봉정로 89,충청남도 천안시 서북구 성정동 745-2,36.81038097,127.1405775,서부역 삼거리,4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0002",충청남도,천안시 서북구,시도,,봉정로,3,충청남도 천안시 서북구 봉정로 130,충청남도 천안시 서북구 성정동 193-10,36.81349911,127.1418428,성정사거리 부근,4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0003",충청남도,천안시 서북구,시도,,봉정로,3,충청남도 천안시 서북구 봉정로 184,충청남도 천안시 서북구 성정동 313-11,36.81832023,127.143078,봉정사거리 부근,4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0004",충청남도,천안시 서북구,시도,,월봉로,3,충청남도 천안시 서북구 월봉로 94,충청남도 천안시 서북구 쌍용동 1489,36.7989728,127.1184614,맘마마트 부근,4,0,,,,2017,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0005",충청남도,천안시 서북구,시도,,월봉로,3,충청남도 천안시 서북구 월봉로 131,충청남도 천안시 서북구 쌍용동 1923,36.80253838,127.1180507,용암마을주변,4,0,,,,2017,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0006",충청남도,천안시 서북구,시도,,서부대로,3,충청남도 천안시 서북구 서부대로 361,충청남도 천안시 서북구 쌍용동 220-9,36.79968773,127.1262076,쌍용사거리,4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0007",충청남도,천안시 서북구,시도,,천안천4길,3,충청남도 천안시 서북구 천안천4길 48,충청남도 천안시 서북구 와촌동 106-17,36.80966395,127.1448778,천안서부역광장 부근,4,0,,,,2017,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0008",충청남도,천안시 서북구,시도,,봉정로,3,충청남도 천안시 서북구 봉정로 343,충청남도 천안시 서북구 두정동 1503,36.83251913,127.145106,복지회관 사거리,4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0009",충청남도,천안시 서북구,시도,,두정상가2길,3,충청남도 천안시 서북구 두정상가2길9,충청남도 천안시 서북구 두정동 1371,36.83095543,127.1394509,"두정상가7길,두정상가2길",4,0,,,,2016,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0010",충청남도,천안시 서북구,시도,,봉주로,3,충청남도 천안시 서북구 직산읍 봉주로 22,충청남도 천안시 서북구 직산읍 삼은리 76-161,36.87674795,127.1488654,봉주로(삼은초),4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0011",충청남도,천안시 서북구,군도,,성환12길,3,충청남도 천안시 서북구 성환읍 성환12길46,충청남도 천안시 서북구 성환읍 성환리 375-2,36.91660672,127.132745,"백석 주공그린빌 1,2차 정문 앞",4,0,,,,2016,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0012",충청남도,천안시 서북구,시도,,오성로,3,충청남도 천안시 서북구 오성로 121,충청남도 천안시 서북구 두정동 1389,36.83030905,127.1410388,"성정두정로, 오성로",4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0013",충청남도,천안시 서북구,시도,,동서대로,3,충청남도 천안시 서북구 동서대로 129-12,충청남도 천안시 서북구 성정동 1519,36.82688885,127.1378822,두정초삼거리,4,0,,,,2019,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0014",충청남도,천안시 서북구,시도,,오성로,3,충청남도 천안시 서북구 오성로 55,충청남도 천안시 서북구 성정동 1116,36.83018337,127.1336414,천안우체국 부근,4,0,,,,2014,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0015",충청남도,천안시 서북구,시도,,성정두정로,3,충청남도 천안시 서북구 성정두정로22,충청남도 천안시 서북구 성정동 1466,36.82757337,127.1415738,"성정두정로, 성정공원5로",4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0016",충청남도,천안시 서북구,시도,,서부18길,3,충청남도 천안시 서북구 서부18길 23,충청남도 천안시 서북구 성정동 759,36.82289385,127.138734,천안서초등학교 후문 주변,4,0,,,,2017,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0017",충청남도,천안시 서북구,시도,,쌍용11길,3,충청남도 천안시 서북구 쌍용11길58,충청남도 천안시 서북구 쌍용동 1284,36.80249201,127.1264335,주공7단지,4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0018",충청남도,천안시 서북구,시도,,성정두정로91,3,충청남도 천안시 서북구 성정두정로91,충청남도 천안시 서북구 두정동 1273,36.83373731,127.1415723,"두정로,성정두정로",4,0,,,,2013,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0019",충청남도,천안시 서북구,시도,,새말2길,3,충청남도 천안시 서북구 새말2길5,충청남도 천안시 서북구 쌍용동 199,36.79581773,127.1293554,쌍용동 국민은행 부근,4,0,,,,2016,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0020",충청남도,천안시 서북구,시도,,쌍용대로,3,충청남도 천안시 동남구 쌍용대로 181,충청남도 천안시 동남구 봉명동 438,36.81373158,127.1341179,쌍용대로.성정로(5단지),4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0021",충청남도,천안시 서북구,시도,,백석4길,3,충청남도 천안시 서북구 백석4길44,충청남도 천안시 서북구 백석동 877,36.8221593,127.1245066,백석종합상가 부근,4,0,,,,2014,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0022",충청남도,천안시 서북구,시도,,오성로,3,충청남도 천안시 서북구 오성로 18,충청남도 천안시 서북구 두정동 604,36.83012421,127.1292364,두정동 명성교회 부근,4,0,,,,2016,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0023",충청남도,천안시 서북구,시도,,봉주로,3,충청남도 천안시 서북구 직산읍 봉주로52,충청남도 천안시 서북구 직산읍 삼은리 438-1,36.87696254,127.1524188,서북구청 삼거리,4,0,,,,2016,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0024",충청남도,천안시 서북구,시도,,두정로,3,충청남도 천안시 서북구 두정로 147,충청남도 천안시 서북구 두정동 985,36.83461537,127.1346453,"서부대로, 두정로(SC)",4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0025",충청남도,천안시 서북구,시도,,불당17길,3,충청남도 천안시 서북구 불당17길14,충청남도 천안시 서북구 불당동 757,36.80910421,127.1102874,"봉서산로,불당4로",4,0,,,,2019,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0026",충청남도,천안시 서북구,시도,,서부대로,3,충청남도 천안시 서북구 서부대로 427,충청남도 천안시 서북구 쌍용동 274-2,36.80578994,127.1276177,서부대로(모미지),4,0,,,,2016,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0027",충청남도,천안시 서북구,시도,,충무로,3,충청남도 천안시 서북구 충무로 158-10,충청남도 천안시 서북구 쌍용동 1363-1,36.79210124,127.125162,충무로(해누리선경),4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0028",충청남도,천안시 서북구,시도,,순천향6길,3,충청남도 천안시 동남구 순천향6길 2,충청남도 천안시 동남구 쌍용동 553-1,36.80242655,127.1322727,미라초등학교 주변,4,0,,,,2019,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0029",충청남도,천안시 서북구,시도,,서부대로,3,충청남도 천안시 서북구 서부대로 769,충청남도 천안시 서북구 두정동 990,36.83561954,127.133939,서부대로(한성필하우스),4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0030",충청남도,천안시 서북구,시도,,봉정로,3,충청남도 천안시 서북구 봉정로 353,충청남도 천안시 서북구 두정동 525-1,36.83534412,127.144458,봉정로(8단지),4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0031",충청남도,천안시 서북구,시도,,서부대로,3,충청남도 천안시 서북구 성정중7길 3,충청남도 천안시 서북구 성정동 1538,36.82854029,127.1332339,서부대로(늘푸른극동),4,0,,,,2015,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0032",충청남도,천안시 서북구,시도,,오성로,3,충청남도 천안시 서북구 오성로 92,충청남도 천안시 서북구 성정동 1116,36.83018337,127.1336414,두정동 통계청 부근,4,0,,,,2014,충청남도 천안시 서북구청,041-521-6420,2022-07-01
"천안서북-F0033",충청남도,천안시 서북구,시도,,서부3길,3,충청남도 천안시 서북구 서부3길78,충청남도 천안시 서북구 성정동 630-1,36.82537935,127.1409929,성정동 롯데마트 부근,4,0,,,,2014,충청남도 천안시 서북구청,041-521-6420,2022-07-01
