무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F7219,세종특별자치시,없음,일반국도,1,세종로,2,,세종특별자치시 소정면 대곡리 322-2,36.72849451,127.1650877,"세종특별자치시 소정면 세종로 4679, (은산제2주유소 앞)",1,80,2013,세종특별자치시경찰청,044-559-2151,2022-05-20
F7460,세종특별자치시,없음,지방도,327,의당전의로,1,,세종특별자치시 장군면 송학리 113-4,36.52781004,127.1845031,세종특별자치시 장군면 의당전의로 송학1리 마을입구 공주방향,1,60,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7461,세종특별자치시,없음,지방도,327,의당전의로,1,,세종특별자치시 장군면 송학리 113-4,36.52781004,127.1845031,세종특별자치시 장군면 의당전의로 송학1리 마을입구 세종방향,1,60,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7641,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 조치원읍 침산리 34-5,36.60311733,127.2898405,세종특별자치시 조치원읍 세종로 욱일사거리(신봉초교 앞) (대전→천안),2,50,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7642,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 소정면 운당리 32-5,36.69790675,127.1526293,세종특별자치시 소정면 세종로 무궁화@앞(천안 방향),2,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7643,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 전의면 유천리 590,36.67922222,127.1845556,세종특별자치시 전의면 세종로 영상주유소 건너편,1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7644,세종특별자치시,없음,지방도,1,세종로,1,,세종특별자치시 금남면 두만리 259-1,36.42782247,127.2900015,세종특별자치시 금남면 세종로 (두만2리 앞),1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7666,세종특별자치시,없음,일반국도,43,정안세종로,1,,세종특별자치시 연기면 수산리 123,36.54064717,127.2323292,세종특별자치시 연기면 정안세종로 수산교차로 400m전 (세종방향),1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7667,세종특별자치시,없음,일반국도,43,정안세종로,2,,세종특별자치시 연기면 수산리 123,36.54064717,127.2323292,세종특별자치시 연기면 정안세종로 수산교차로 (정안방향),1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F8280,세종특별자치시,없음,시도,,가름로,2,,세종특별자치시 종촌동 710,36.49916172,127.2504936,세종특별자치시 다정동 가름로 가재마을아파트 803동 옆 사거리,2,50,2015,세종특별자치시경찰청,044-559-2151,2022-05-20
