"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,충청남도,서산시,일반국도,국도 32호선,서해로,2,충청남도 서산시 예천동 1162,,36.77022544,126.4343097,서해로 법원삼거리,99,60,,,,,충청남도경찰청,041-336-2256,2022-04-25
2,충청남도,서산시,일반국도,국도 32호선,잠홍2길,2,충청남도 서산시 잠홍2길 21,,36.78871116,126.4854697,잠홍2길 21 잠홍 장례식장 앞 사거리,99,60,,,,,충청남도경찰청,041-336-2256,2022-04-25
3,충청남도,서산시,일반국도,국도 32호선,서해로,1,충청남도 서산시 잠홍동 583-6,,36.78555869,126.4756955,서해로 애향삼거리,1,60,,,,,충청남도경찰청,041-336-2256,2022-04-25
4,충청남도,서산시,일반국도,국도 29호선,충의로,1,충청남도 서산시 지곡면 화천리 535-15,,36.87726419,126.4395991,지곡면 충의로 화천교차로 (화천슈퍼 앞) 대산방향,99,80,,,,,충청남도경찰청,041-336-2256,2022-04-25
5,충청남도,서산시,기타,,양열로,2,충청남도 서산시 석남동 243-2,,36.76131746,126.4532273,석남동 양열로 석지사거리 태안방향,99,80,,,,,충청남도경찰청,041-336-2256,2022-04-25
6,충청남도,서산시,기타,,양열로,1,충청남도 서산시 석남동 243-2,,36.76131746,126.4532273,석남동 양열로 석지사거리 해미방향,99,80,,,,,충청남도경찰청,041-336-2256,2022-04-25
7,충청남도,서산시,기타,,백제신사로,2,충청남도 서산시 성연면 명천리 821-4,,36.84438483,126.4751574,성연 백제신사로 성연교차로,99,70,,,,,충청남도경찰청,041-336-2256,2022-04-25
8,충청남도,서산시,일반국도,국도 29호선,충의로,2,충청남도 서산시 성연면 오사리 산23-3,,36.84091952,126.4400122,성연면 충의로 오스카빌 앞,1,80,,,,,충청남도경찰청,041-336-2256,2022-04-25
9,충청남도,서산시,일반국도,국도 29호선,충의로,2,충청남도 서산시 대산읍 대산리 산126-5,,36.9410551,126.4302515,대산읍 충의로 농협하나로마트 삼거리(서산방향),99,80,,,,,충청남도경찰청,041-336-2256,2022-04-25
10,충청남도,서산시,일반국도,국도 29호선,충의로,1,충청남도 서산시 대산읍 대산리 산126-5,,36.9410551,126.4302515,대산읍 충의로 농협하나로마트 삼거리(당진방향),99,80,,,,,충청남도경찰청,041-336-2256,2022-04-25
