"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
44825001,충청남도,태안군,군도,중앙로,중앙로,3,,충청남도 태안군 태안읍 동문리 523-2,36.75405013,126.2967652,중앙로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,중앙로,중앙로,3,,충청남도 태안군 태안읍 동문리 288-36,36.75321609,126.2989631,중앙로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,중앙로,중앙로,3,,충청남도 태안군 태안읍 남문리 729,36.74885158,126.2968097,중앙로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,중앙로,중앙로,3,,충청남도 태안군 태안읍 남문리 576-93,36.75436287,126.2947608,중앙로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,중앙로,중앙로,3,,충청남도 태안군 태안읍 동문리 523-4,36.75405745,126.2970364,중앙로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,동백로,동백로,3,,충청남도 태안군 태안읍 동문리 903,36.7483549,126.302607,동백로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,샘골로,샘골로,3,,충청남도 태안군 태안읍 동문리 319-3,36.75191009,126.3024374,샘골로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,동백로,동백로,3,,충청남도 태안군 태안읍 남문리 169-24,36.7528635,126.296019,동백로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,동백로,동백로,3,,충청남도 태안군 태안읍 동문리 919,36.74633371,126.3037752,동백로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,동백로,동백로,3,,충청남도 태안군 태안읍 남문리 755,36.74740696,126.3034938,동백로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,동백로,동백로,3,,충청남도 태안군 태안읍 동문리 903,36.7483549,126.302607,동백로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
44825001,충청남도,태안군,군도,샘골로,샘골로,3,,충청남도 태안군 태안읍 동문리 311-11,36.75048015,126.3013798,샘골로,4,30,,,,,충청남도 태안군,041-670-2366,2022-07-13
