"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"서천-1",충청남도,서천군,지방도,2-101,중로,3,충청남도 서천군 서천읍 군청로 42,충청남도 서천군 서천읍 군사리 444-13,36.07842172,126.6913576,서천군청 입구,4,40,,,99,2014,서천군,041-950-4127,2022-11-22
"서천-2",충청남도,서천군,지방도,2-101,중로,3,충청남도 서천군 서천읍 서천로 81-1,충청남도 서천군 서천읍 군사리 513-10,36.07709572,126.6906994,군청사거리,4,40,,,99,2014,서천군,041-950-4127,2022-11-22
"서천-3",충청남도,서천군,지방도,2-101,중로,3,충청남도 서천군 서천읍 서천로 56,충청남도 서천군 서천읍 군사리 559-7,36.07651328,126.6935987,서천중학교입구,4,40,,,99,2014,서천군,041-950-4127,2022-11-22
"서천-4",충청남도,서천군,지방도,2-101,중로,3,충청남도 서천군 서천읍 서천로 97,충청남도 서천군 서천읍 군사리 705-38,36.07754713,126.6891051,서천초등학교 입구,4,40,,,2,2014,서천군,041-950-4127,2022-11-22
"서천-5",충청남도,서천군,지방도,2-101,중로,3,충청남도 서천군 서천읍 서천로 125,충청남도 서천군 서천읍 군사리 718-18,36.07906821,126.6861361,다사랑입구,4,40,,,2,2019,서천군,041-950-4127,2022-11-22
"서천-6",충청남도,서천군,지방도,1-104,중로,3,충청남도 서천군 서천읍 서천로 139-2,충청남도 서천군 서천읍 사곡리 318-26,36.08039176,126.6864872,신포우리만두,4,40,,,99,2019,서천군,041-950-4127,2022-11-22
"서천-7",충청남도,서천군,지방도,1-105,중로,3,충청남도 서천군 서천읍 충절로 50,충청남도 서천군 서천읍 군사리 686-3,36.07497125,126.6883382,고려정형외과 입구,4,40,,,99,2014,서천군,041-950-4127,2022-11-22
"서천-8",충청남도,서천군,지방도,1-105,중로,3,충청남도 서천군 서천읍 충절로41번길 1,충청남도 서천군 서천읍 군사리 871,36.07563548,126.6873098,서천특화시장입구,4,40,,,99,2014,서천군,041-950-4127,2022-11-22
"서천-9",충청남도,서천군,지방도,2-101,중로,3,충청남도 서천군 서천읍 서천로 157,충청남도 서천군 서천읍 사곡리 276-1,36.08189255,126.6869342,서천축협입구,4,40,,,99,2014,서천군,041-950-4127,2022-11-22
"서천-10",충청남도,서천군,지방도,1-104,중로,3,충청남도 서천군 서천읍 사곡로 75,충청남도 서천군 서천읍 사곡리 116-5,36.08383893,126.6910034,정원아파트입구,1,50,,,99,2019,서천군,041-950-4127,2022-11-22
"서천-11",충청남도,서천군,일반국도,21,소로,3,충청남도 서천군 비인면 서인로 1254-3,충청남도 서천군 비인면 성북리 253-1,36.14422409,126.5965709,성내사거리,1,70,,,99,2019,서천군,041-950-4127,2022-11-22
"서천-12",충청남도,서천군,군도,,소로,3,,충청남도 서천군 화양면 봉명리 140-1,36.04225,126.7757775,화양초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-13",충청남도,서천군,군도,,소로,3,,충청남도 서천군 화양면 봉명리 620-5,36.04216964,126.77623,화양초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-14",충청남도,서천군,군도,,소로,3,,충청남도 서천군 한산면 지현리 442-1,36.08622122,126.8032566,한산초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-15",충청남도,서천군,군도,,소로,3,,충청남도 서천군 한산면 지현리 182-1,36.08595821,126.8040056,한산초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-16",충청남도,서천군,군도,,소로,3,,충청남도 서천군 시초면 초현리 60-5,36.12128657,126.75211,시초초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-17",충청남도,서천군,군도,,소로,3,,충청남도 서천군 종천면 종천리 209-8,36.10396191,126.6475495,부내초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-18",충청남도,서천군,군도,,소로,3,,충청남도 서천군 종천면 종천리 208-33,36.10414362,126.64828,부내초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-19",충청남도,서천군,군도,,소로,3,,충청남도 서천군 마서면 한성리 433-1,36.0729437,126.64353,송석초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-20",충청남도,서천군,군도,,소로,3,,충청남도 서천군 마서면 한성리 433-7,36.07243854,126.6445165,송석초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-21",충청남도,서천군,군도,,소로,3,,충청남도 서천군 마서면 봉남리 262-11,36.05695,126.6798322,서남초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
"서천-22",충청남도,서천군,군도,,소로,3,,충청남도 서천군 마서면 봉남리 510-11,36.05695672,126.6792053,서남초등학교,1,30,,,2,2021,서천군,041-950-4127,2022-11-22
