"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,충청남도,예산군,군도,,봉운로,3,충청남도 예산군 덕산면 봉운로 32,충청남도 예산군 덕산면 읍내리 334-8,36.70583813,126.6697721,덕산초교,4,0,,150,99,2010,충청남도 예산군청,041-339-7696,2022-10-19
2,충청남도,예산군,군도,,역전로,3,충청남도 예산군 예산읍 역전로 36,충청남도 예산군 예산읍 주교리 279-6,36.68252335,126.8292769,주교사거리,4,0,,100,99,2012,충청남도 예산군청,041-339-7696,2022-10-19
3,충청남도,예산군,군도,,금오대로,3,충청남도 예산군 예산읍 금오대로 35-14,충청남도 예산군 예산읍 산성리 647,36.69388441,126.8319966,종합버스터미널,4,0,,200,99,2013,충청남도 예산군청,041-339-7696,2022-10-19
4,충청남도,예산군,군도,,임성로,3,충청남도 예산군 예산읍 임성로 20,충청남도 예산군 예산읍 예산리 201-7,36.67984019,126.8497712,삼선당약국,4,0,,200,99,2014,충청남도 예산군청,041-339-7696,2022-10-19
5,충청남도,예산군,군도,,임성로,3,충청남도 예산군 예산읍 임성로 3,충청남도 예산군 예산읍 예산리 463-4,36.67843138,126.84957,광덕주단,4,0,,200,99,2014,충청남도 예산군청,041-339-7696,2022-10-19
6,충청남도,예산군,군도,,예산로,3,충청남도 예산군 예산읍 예산로 189,충청남도 예산군 예산읍 예산리 786,36.67948331,126.8457302,군청사입구,4,0,,200,99,2019,충청남도 예산군청,041-339-7696,2022-10-19
7,충청남도,예산군,군도,,역전로,3,충청남도 예산군 예산읍 역전로 150-3,충청남도 예산군 예산읍 산성리 709-5,36.69271021,126.830639,서오아파트,4,0,,130,99,2019,충청남도 예산군청,041-339-7696,2022-10-19
8,충청남도,예산군,군도,,역전로,3,충청남도 예산군 예산읍 역전로 77,충청남도 예산군 예산읍 주교리 220-2,36.68605871,126.8291872,역전 회전교차로,4,0,,150,99,2021,충청남도 예산군청,041-339-7696,2022-10-19
9,충청남도,예산군,군도,,역전로134번길,3,충청남도 예산군 예산읍 역전로134번길 40,충청남도 예산군 예산읍 산성리 865,36.6898965,126.8349145,금오초,4,0,,150,2,2021,충청남도 예산군청,041-339-7696,2022-10-19
10,충청남도,예산군,군도,,황금뜰로,3,충청남도 예산군 고덕면 황금뜰로 203,충청남도 예산군 고덕면 대천리 650-4,36.74626713,126.7030401,고덕초,4,0,,150,2,2021,충청남도 예산군청,041-339-7696,2022-10-19
11,충청남도,예산군,군도,,신례원로,3,충청남도 예산군 예산읍 신례원로 161,충청남도 예산군 예산읍 신례원리 617,36.72524999,126.8433018,신례원초,4,0,,150,2,2021,충청남도 예산군청,041-339-7696,2022-10-19
12,충청남도,예산군,군도,,아리랑로,3,충청남도 예산군 예산읍 아리랑로 207,충청남도 예산군 예산읍 예산리 594-1,36.68231973,126.8498332,예산초,4,0,,150,2,2021,충청남도 예산군청,041-339-7696,2022-10-19
13,충청남도,예산군,군도,,삽교로4길,3,충청남도 예산군 삽교읍 삽교로4길 23,충청남도 예산군 삽교읍 두리 606-6,36.68806692,126.7421511,삽교초,4,0,,150,2,2021,충청남도 예산군청,041-339-7696,2022-10-19
